Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,GP_Opp,MPG_Opp,PPG_Opp,FGM_Opp,FGA_Opp,FG%_Opp,3PM_Opp,3PA_Opp,3P%_Opp,FTM_Opp,FTA_Opp,FT%_Opp,ORB_Opp,DRB_Opp,RPG_Opp,APG_Opp,SPG_Opp,BPG_Opp,TOV_Opp,PF_Opp
2014STFRANCISNY,32,40.5,69.0,24.4,56.7,.431,6.1,19.3,.315,14.1,20.6,.683,11.5,24.5,36.0,12.5,5.7,5.3,13.1,20.0,32,40.5,66.8,22.4,54.6,.410,4.8,14.5,.333,17.2,23.6,.730,9.5,22.5,32.0,10.6,6.2,3.3,12.6,18.3
2014GEORGIA,34,40.3,68.9,22.6,51.2,.441,4.9,14.1,.349,18.9,27.7,.682,11.2,24.5,35.7,10.0,5.1,4.6,13.1,18.8,34,40.3,66.8,22.0,54.6,.403,6.1,19.1,.319,16.7,23.7,.706,10.1,21.1,31.2,9.7,6.9,4.2,10.6,21.4
2014SOUTHALABAMA,31,40.6,68.9,23.1,57.3,.403,7.8,23.4,.333,14.9,21.9,.682,11.5,24.6,36.2,11.3,4.9,4.0,12.3,20.0,31,40.6,70.4,24.5,56.5,.434,5.8,17.1,.340,15.6,22.7,.687,10.5,24.9,35.5,11.4,5.2,3.6,11.5,18.5
2014TEXASSANANTONIO,30,40.2,68.9,21.8,51.5,.423,6.0,18.2,.331,19.2,27.9,.690,11.7,22.3,34.0,10.5,6.0,1.8,15.8,20.6,30,40.2,76.8,26.2,55.8,.470,8.0,21.5,.371,16.4,24.5,.669,10.3,22.0,32.3,14.8,7.4,4.5,12.0,21.7
2014DREXEL,30,41.5,68.8,23.9,56.9,.421,5.1,16.4,.314,15.8,22.3,.709,9.8,24.4,34.2,11.8,4.6,3.9,8.5,21.3,30,41.5,67.3,22.7,53.5,.425,5.0,16.3,.308,16.8,25.0,.674,10.3,24.9,35.1,10.4,4.0,3.5,11.3,19.5
2014TENNESSEEST,30,40.2,68.7,23.6,54.9,.429,4.9,16.7,.293,16.7,23.8,.700,10.9,21.7,32.6,10.5,5.4,2.8,12.5,21.3,30,40.2,75.5,24.8,53.5,.463,6.1,18.2,.338,19.8,27.4,.721,9.9,22.9,32.8,12.4,5.7,3.9,11.2,19.6
2014BOSTONCOLLEGE,32,40.8,68.7,22.4,50.2,.446,7.7,21.9,.352,16.2,21.8,.741,7.8,20.8,28.7,12.4,4.4,2.7,11.2,18.8,32,40.8,73.6,25.8,55.3,.466,5.7,15.4,.369,16.4,22.5,.729,10.5,21.6,32.1,12.3,5.5,2.9,9.7,18.4
2014FLORIDAINTERNATIONAL,31,40.3,68.6,24.3,54.2,.449,4.9,15.5,.316,15.1,22.5,.670,10.8,23.9,34.8,10.8,7.1,4.2,14.0,18.1,31,40.3,70.0,24.7,57.4,.430,6.1,18.7,.326,14.5,21.1,.688,11.1,22.0,33.1,13.7,6.1,3.7,12.9,18.4
2014AKRON,34,40.4,68.6,23.9,54.6,.438,7.0,20.3,.346,13.7,22.1,.623,11.1,21.9,33.0,11.4,6.6,4.2,13.1,17.8,34,40.4,66.9,23.8,54.9,.433,5.1,15.2,.335,14.2,19.9,.716,10.0,21.8,31.8,11.1,6.6,3.1,12.9,18.9
2014WESTERNKENTUCKY,32,40.5,68.6,22.9,55.2,.414,7.3,21.8,.337,15.5,23.6,.656,11.7,23.6,35.3,11.3,5.2,2.4,13.6,19.0,32,40.5,67.6,23.0,53.2,.432,5.6,16.0,.352,16.0,22.3,.716,9.0,23.0,32.0,10.6,6.9,4.4,13.0,19.7
2014BUTLER,31,41.1,68.5,24.4,56.7,.429,5.9,18.3,.323,13.9,21.1,.661,10.6,23.1,33.7,11.1,6.0,2.8,10.0,16.9,31,41.1,66.6,24.7,55.3,.447,5.3,17.1,.308,11.8,17.1,.691,8.8,24.4,33.1,12.3,5.5,3.6,11.6,18.7
2014MISSOURIST,33,40.5,68.5,23.1,53.5,.431,7.0,19.5,.357,15.5,21.8,.708,8.6,22.6,31.2,12.2,4.8,3.0,10.9,19.8,33,40.5,68.2,23.2,52.3,.444,6.7,19.1,.352,15.0,22.5,.667,8.9,23.8,32.7,12.8,5.5,3.4,12.0,19.6
2014HOFSTRA,33,40.2,68.5,22.7,54.2,.419,6.9,20.8,.334,16.1,24.4,.659,12.1,22.8,34.9,10.8,4.8,3.2,12.3,19.5,33,40.2,73.2,25.1,55.4,.453,7.3,19.5,.377,15.6,22.8,.684,9.9,22.6,32.5,13.2,6.2,3.5,9.7,19.8
2014NICHOLLSST,29,40.3,68.5,24.4,55.0,.444,6.1,20.1,.306,13.5,21.3,.633,9.4,21.1,30.6,13.2,5.8,2.9,12.1,23.6,29,40.3,72.9,23.3,50.1,.466,4.9,14.4,.341,21.3,30.1,.709,9.0,24.0,33.0,11.4,5.9,3.0,13.0,19.4
2014TEXASTECH,32,40.2,68.4,24.5,53.7,.456,4.4,14.1,.311,15.1,20.8,.728,11.2,20.8,32.1,11.4,6.1,3.7,12.0,18.9,32,40.2,68.4,22.9,52.3,.437,6.4,19.5,.330,16.3,22.0,.739,9.8,18.9,28.8,11.1,6.0,3.6,11.4,17.9
